LOOP		PDB1		CLASS1		PDB2		CLASS2		LOOPDEF		CA-RMS
L2		2hvj		7A		2ih3		7A		L50-L56		0.246
L2		2vxq		7A		1dee		7A		L50-L56		0.147
L2		2h8p		7A		2ih3		7A		L50-L56		0.092
L2		2hg5		7A		2ih3		7A		L50-L56		0.243
L2		1i9i		7A		1a4j		7A		L50-L56		0.159
L2		1tet		7A		1a4j		7A		L50-L56		0.118
L2		2ny4		7A		2ny1		7A		L50-L56		0.078
L2		1t4k		7A		1il1		7A		L50-L56		0.318
L2		1cfs		7A		1hi6		7A		L50-L56		0.162
L2		1g9n		7A		2ny1		7A		L50-L56		0.393
L2		1q9w		7A		1q9o		7A		L50-L56		0.252
L2		2eiz		7A		1bm3		7A		L50-L56		0.539
L2		1m71		7A		1a4j		7A		L50-L56		0.211
L2		1r3k		7A		2ih3		7A		L50-L56		0.330
L2		3bpc		7A		1il1		7A		L50-L56		0.114
L2		2aju		7A		2ajx		7A		L50-L56		0.108
L2		1pg7_1		7A		1jps		7A		L50-L56		0.156
L2		2gjz		7A		1a4j		7A		L50-L56		0.289
L2		3giz		7A		3b2v		7A		L50-L56		0.533
L2		1m7d		7A		1a4j		7A		L50-L56		0.145
L2		3cfe		7A		2a6d		7B		L50-L56		1.912
L2		2uud		7A		1a4j		7A		L50-L56		0.240
L2		1mfb		7A		2ntf		7A		L50-L56		0.220
L2		1w72		7A		2g75		7A		L50-L56		0.182
L2		2dqc		7A		1bm3		7A		L50-L56		0.633
L2		2zkh		7A		1wcb		7A		L50-L56		0.210
L2		2igf		7A		1a4j		7A		L50-L56		0.294
L2		2ht3		7A		2fed		7A		L50-L56		0.510
L2		2mpa		7A		1a4j		7A		L50-L56		0.117
L2		2qr0		7A		3dvn		7A		L50-L56		0.210
L2		2fjf		7A		2qqk		7A		L50-L56		0.293
L2		2eh7		7A		2c1o		7A		L50-L56		0.198
L2		1sy6		7A		1z3g		7A		L50-L56		0.187
L2		2ak1		7A		2ajx		7A		L50-L56		0.084
L2		1osp		7A		1jrh		7A		L50-L56		0.152
L2		1ken		7A		1wcb		7A		L50-L56		0.199
L2		43ca		7A		3gi8		7A		L50-L56		0.168
L2		3hb3		7A		1mqk		7A		L50-L56		0.149
L2		1xct		7A		1il1		7A		L50-L56		0.334
L2		1i9r		7A		1nsn		7A		L50-L56		0.243
L2		1mrf		7A		1a4j		7A		L50-L56		0.231
L2		1ggc		7A		1ggi		7A		L50-L56		0.193
L2		2fgw		7A		1e4w		7A		L50-L56		0.227
L2		1c08		7A		1bm3		7A		L50-L56		0.557
L2		1ae6		7A		1mj8		7A		L50-L56		0.247
L2		1igj		7A		1a4j		7A		L50-L56		0.247
L2		1n5y		7A		1r0a		7A		L50-L56		0.315
L2		1ocw		7A		1gig		7A		L50-L56		0.334
L2		2eks		7A		1bm3		7A		L50-L56		0.521
L2		1op3		7A		1zlu		7A		L50-L56		0.186
L2		1clo		7A		1ad0		7A		L50-L56		0.179
L2		3ggw		7A		3c5s		7A		L50-L56		0.213
L2		1ic4		7A		1bm3		7A		L50-L56		0.585
L2		2r0z		7A		1a4j		7A		L50-L56		0.264
L2		1h3p		7A		1il1		7A		L50-L56		0.144
L2		2op4		7A		2ntf		7A		L50-L56		0.191
L2		1mre		7A		1a4j		7A		L50-L56		0.202
L2		1jgl		7A		1jhk		7A		L50-L56		0.205
L2		1hin		7A		1il1		7A		L50-L56		0.285
L2		1fe8		7A		2a6d		7B		L50-L56		1.893
L2		1yeh		7A		2c1o		7A		L50-L56		0.252
L2		2ny5		7A		2ny1		7A		L50-L56		0.202
L2		1a3r		7A		1il1		7A		L50-L56		0.208
L2		1kiq		7A		1a7n		7A		L50-L56		0.116
L2		1u8n		7A		1u8o		7A		L50-L56		0.001
L2		32c2		7A		2gsi		7A		L50-L56		0.254
L2		1e6j		7A		1e6o		7A		L50-L56		0.089
L2		1ncc		7A		1nca		7A		L50-L56		0.144
L2		3ikc		7A		1il1		7A		L50-L56		0.269
L2		2r1y		7A		1il1		7A		L50-L56		0.103
L2		1wt5		7A		2z4q		7A		L50-L56		0.089
L2		3eo9		7A		3eoa		7A		L50-L56		0.220
L2		1nbv		7A		1a4j		7A		L50-L56		0.216
L2		3fn0		7A		3b2v		7A		L50-L56		0.634
L2		2cgr		7A		1plg		7A		L50-L56		0.297
L2		1n64		7A		1il1		7A		L50-L56		0.363
L2		1ua6		7A		1bm3		7A		L50-L56		0.621
L2		1mie		7A		1mj8		7A		L50-L56		0.277
L2		1iai_2		7A		1aif		7A		L50-L56		0.456
L2		3ejz		7A		2fed		7A		L50-L56		0.304
L2		1ruk		7A		1ncw		7A		L50-L56		0.032
L2		2r1w		7A		1il1		7A		L50-L56		0.120
L2		2cju		7A		1a4j		7A		L50-L56		0.140
L2		2o5x		7A		1a4j		7A		L50-L56		0.119
L2		1him		7A		1il1		7A		L50-L56		0.155
L2		1tqc		7A		1tqb		7A		L50-L56		0.086
L2		3bqu_1		7A		1u8o		7A		L50-L56		0.273
L2		2ipt		7A		1a4j		7A		L50-L56		0.133
L2		1ncb		7A		1nca		7A		L50-L56		0.104
L2		1xf4		7A		1p7k		7A		L50-L56		0.213
L2		1kb5		7A		1mqk		7A		L50-L56		0.358
L2		1flr		7A		1a4j		7A		L50-L56		0.174
L2		1mju		7A		1mj8		7A		L50-L56		0.135
L2		1u91		7A		1u8o		7A		L50-L56		0.001
L2		1bfv		7A		1a4j		7A		L50-L56		0.111
L2		1r3j		7A		2ih3		7A		L50-L56		0.140
L2		1u92		7A		1u8o		7A		L50-L56		0.001
L2		2r8s		7A		3dvn		7A		L50-L56		0.360
L2		1k4d		7A		2ih3		7A		L50-L56		0.156
L2		1oay		7A		1gig		7A		L50-L56		0.392
L2		1wc7		7A		1wcb		7A		L50-L56		0.208
L2		1yym		7A		2ny1		7A		L50-L56		0.128
L2		1ncd		7A		1nca		7A		L50-L56		0.192
L2		1mfa		7A		2ntf		7A		L50-L56		0.226
L2		2ap2		7A		1il1		7A		L50-L56		0.147
L2		2r2h		7A		1il1		7A		L50-L56		0.098
L2		2ck0		7A		1ck0		7A		L50-L56		0.169
L2		3bkm		7A		3bkj		7A		L50-L56		0.110
L2		1tzh		7A		1za3		7A		L50-L56		0.380
L2		1orq		7A		1wcb		7A		L50-L56		0.201
L2		2hfe		7A		2ih3		7A		L50-L56		0.163
L2		1bln		7A		2jel		7A		L50-L56		0.225
L2		2i5y		7A		2ny1		7A		L50-L56		0.156
L2		2b1a		7A		2b0s		7A		L50-L56		0.148
L2		3c2a		7A		1q1j		7A		L50-L56		0.083
L2		2b1h		7A		2b0s		7A		L50-L56		0.194
L2		1pz5		7A		1a4j		7A		L50-L56		0.253
L2		1s3k		7A		1a4j		7A		L50-L56		0.086
L2		1u8k		7A		1u8o		7A		L50-L56		0.156
L2		2dlf		7A		1a4j		7A		L50-L56		0.130
L2		1rzk		7A		2ny1		7A		L50-L56		0.329
L2		1nld		7A		2c1o		7A		L50-L56		0.208
L2		3c09		7A		3c08		7A		L50-L56		0.359
L2		1h0d		7A		1mf2		7A		L50-L56		0.152
L2		2fr4		7A		1p7k		7A		L50-L56		0.202
L2		2yss		7A		1bm3		7A		L50-L56		0.556
L2		1ynl		7A		1plg		7A		L50-L56		0.195
L2		1uz8		7A		1fl3		7A		L50-L56		0.219
L2		1j5o		7A		1r0a		7A		L50-L56		0.380
L2		1ic5		7A		1bm3		7A		L50-L56		0.619
L2		1a0q		7A		1eap		7A		L50-L56		0.226
L2		2pw2		7A		1u8o		7A		L50-L56		0.114
L2		2brr		7A		1wcb		7A		L50-L56		0.220
L2		1c1e		7A		1a4j		7A		L50-L56		0.115
L2		1gpo		7A		1bm3		7A		L50-L56		0.490
L2		1c5c		7A		1c5b		7A		L50-L56		0.195
L2		1ngz		7A		3gk8		7A		L50-L56		0.303
L2		1jn6		7A		1gig		7A		L50-L56		0.384
L2		2mcp		7A		1mcp		7A		L50-L56		0.166
L2		1ndm		7A		1bm3		7A		L50-L56		0.595
L2		1ynt		7A		2a6d		7B		L50-L56		1.983
L2		1b4j		7A		1kcv		7A		L50-L56		0.444
L2		1y18		7A		3cfk		7A		L50-L56		0.137
L2		2j4w		7A		1ad0		7A		L50-L56		0.088
L2		1gaf		7A		1hkl		7A		L50-L56		0.196
L2		2itc		7A		2ih3		7A		L50-L56		0.104
L2		2d03		7A		1a4j		7A		L50-L56		0.163
L2		3hfm		7A		1bm3		7A		L50-L56		0.438
L2		1nc4		7C		1nc2		7C		L50-L56		0.099
L2		1p4i		7A		1gig		7A		L50-L56		0.179
L2		1rua		7A		1ncw		7A		L50-L56		0.053
L2		3bsz		7A		1ejo		7A		L50-L56		0.269
L2		1mjj		7A		1mj8		7A		L50-L56		0.217
L2		2r0l		7A		2qqk		7A		L50-L56		0.153
L2		1xcq		7A		1il1		7A		L50-L56		0.315
L2		1igi		7A		1a4j		7A		L50-L56		0.169
L2		1yeg		7A		2c1o		7A		L50-L56		0.224
L2		1dvf_1		7A		1a7n		7A		L50-L56		0.210
L2		1bfo		7A		1ce1		7A		L50-L56		0.270
L2		1i8k		7C		1i8i		7C		L50-L56		0.184
L2		1v7m		7A		1wcb		7A		L50-L56		0.159
L2		3bae		7A		3bkj		7A		L50-L56		0.067
L2		2zck		7A		2zcl		7A		L50-L56		0.311
L2		1opg		7A		1bm3		7A		L50-L56		0.684
L2		2f5a		7A		1u8o		7A		L50-L56		0.163
L2		1uyw		7A		1kcv		7A		L50-L56		0.074
L2		2adi		7C		1i8i		7C		L50-L56		0.341
L2		2ajs		7A		2ajx		7A		L50-L56		0.152
L2		1hq4		7A		1wcb		7A		L50-L56		0.153
L2		2boc		7A		2ih3		7A		L50-L56		0.260
L2		1hil		7A		1il1		7A		L50-L56		0.226
L2		2aeq		7A		3hc4		7A		L50-L56		0.554
L2		3hc0		7A		3hc4		7A		L50-L56		0.113
L2		1ngw		7A		3gk8		7A		L50-L56		0.298
L2		3eyq		7A		3b2v		7A		L50-L56		0.446
L2		1yyl		7A		2ny1		7A		L50-L56		0.222
L2		3g6j		7A		2qqk		7A		L50-L56		0.261
L2		1hh9		7A		1hi6		7A		L50-L56		0.179
L2		1op5		7A		1zlu		7A		L50-L56		0.229
L2		1bvk		7A		1a7n		7A		L50-L56		0.203
L2		1ynk		7A		1plg		7A		L50-L56		0.194
L2		1a6v		7A		1gig		7A		L50-L56		0.242
L2		2i9l		7A		1il1		7A		L50-L56		0.337
L2		1dql		7A		1dee		7A		L50-L56		0.125
L2		1fpt		7A		1a4j		7A		L50-L56		0.329
L2		2dqj		7A		1bm3		7A		L50-L56		0.631
L2		2ny2		7A		2ny1		7A		L50-L56		0.107
L2		1ahw		7A		1k6q		7A		L50-L56		0.623
L2		3c6s		7A		3c5s		7A		L50-L56		0.159
L2		2iff		7A		1z3g		7A		L50-L56		0.245
L2		1om3		7A		1zlu		7A		L50-L56		0.161
L2		1l7i		7A		1s78		7A		L50-L56		0.255
L2		1cly		7A		1a4j		7A		L50-L56		0.112
L2		1kem		7A		1a4j		7A		L50-L56		0.126
L2		2iq9		7A		1a4j		7A		L50-L56		0.103
L2		1riv		7A		1qyg		7A		L50-L56		0.117
L2		1oar		7A		1gig		7A		L50-L56		0.265
L2		1cl7		7A		1a4j		7A		L50-L56		0.271
L2		1nd0		7A		1ncw		7A		L50-L56		0.164
L2		2r9h		7A		2fed		7A		L50-L56		0.232
L2		1rul		7A		1ncw		7A		L50-L56		0.062
L2		2atk		7A		2ih3		7A		L50-L56		0.192
L2		1u8l		7A		1u8o		7A		L50-L56		0.001
L2		1dqd		7A		1seq		7A		L50-L56		0.189
L2		1mim		7A		1z3g		7A		L50-L56		0.316
L2		2ht2		7A		2fed		7A		L50-L56		0.261
L2		1u93		7A		1u8o		7A		L50-L56		0.001
L2		1rum		7A		1ncw		7A		L50-L56		0.050
L2		3hnv		7A		2a6d		7B		L50-L56		1.748
L2		2vis		7A		1gig		7A		L50-L56		0.336
L2		1u8q		7A		1u8o		7A		L50-L56		0.001
L2		1y0l		7A		3cfk		7A		L50-L56		0.128
L2		2z92		7A		2z91		7A		L50-L56		0.294
L2		1fvd		7A		1fve		7A		L50-L56		0.189
L2		1iqd		7A		2ny1		7A		L50-L56		0.214
L2		1zls		7A		1zlu		7A		L50-L56		0.212
L2		3bgf		7A		2rcs		7A		L50-L56		0.343
L2		2vit		7A		1gig		7A		L50-L56		0.333
L2		2f19		7A		2a6d		7B		L50-L56		1.894
L2		1xf2		7A		1p7k		7A		L50-L56		0.222
L2		1rup		7A		1ncw		7A		L50-L56		0.043
L2		1bql		7A		1z3g		7A		L50-L56		0.215
L2		2uyl		7A		1a4j		7A		L50-L56		0.182
L2		1ngy		7A		3gk8		7A		L50-L56		0.317
L2		1f4x		7A		1f4y		7A		L50-L56		0.162
L2		2fbj		7A		1e6o		7A		L50-L56		0.196
L2		1ar1		7A		1mqk		7A		L50-L56		0.149
L2		1dbk		7A		1dbm		7A		L50-L56		0.210
L2		1rzj		7A		2ny1		7A		L50-L56		0.089
L2		2ny3		7A		2ny1		7A		L50-L56		0.067
L2		2o5z		7A		1a4j		7A		L50-L56		0.148
L2		1i3g		7A		1ztx		7A		L50-L56		0.348
L2		2adj		7C		1i8i		7C		L50-L56		0.363
L2		1mrc		7A		1a4j		7A		L50-L56		0.216
L2		2hrp		7A		1mf2		7A		L50-L56		0.164
L2		1sbs		7A		1il1		7A		L50-L56		0.167
L2		1a6u		7A		1gig		7A		L50-L56		0.234
L2		2bmk		7A		1wcb		7A		L50-L56		0.167
L2		1r24		7A		3cmo		7A		L50-L56		0.484
